iter	Passed	Remaining
0	341	341274
1	546	272467
2	714	237346
3	882	219780
4	1056	210288
5	1228	203573
6	1412	200436
7	1583	196354
8	1747	192398
9	1912	189348
10	2072	186319
11	2238	184318
12	2388	181343
13	2557	180106
14	2706	177705
15	2856	175689
16	3257	188347
17	3413	186222
18	3569	184293
19	3739	183245
20	3892	181478
21	4054	180219
22	4204	178618
23	4364	177503
24	4512	175996
25	4657	174459
26	4809	173335
27	4949	171822
28	5101	170821
29	5256	169953
30	5422	169486
31	5574	168621
32	5730	167916
33	5884	167179
34	6039	166504
35	6187	165700
36	6345	165145
37	6498	164523
38	6652	163912
39	6789	162946
40	6926	162021
41	7080	161493
42	7214	160562
43	7365	160030
44	7514	159464
45	7657	158819
46	7813	158437
47	7958	157845
48	8107	157355
49	8253	156819
50	8399	156299
51	8561	156074
52	8695	155370
53	8841	154885
54	8987	154428
55	9133	153960
56	9263	153257
57	9415	152913
58	9549	152308
59	9693	151865
60	9828	151300
61	9972	150870
62	10110	150374
63	10265	150129
64	10415	149818
65	10555	149376
66	10696	148947
67	10845	148650
68	10974	148074
69	11133	147915
70	11280	147599
71	11424	147243
72	11557	146761
73	11686	146238
74	11823	145824
75	11957	145379
76	12114	145219
77	12277	145128
78	12405	144627
79	12548	144308
80	12691	143993
81	12872	144108
82	13068	144385
83	13230	144272
84	13412	144381
85	13646	145035
86	13890	145766
87	14154	146691
88	14430	147713
89	14676	148397
90	14828	148119
91	14958	147635
92	15097	147237
93	15231	146802
94	15393	146639
95	15551	146439
96	15742	146547
97	15886	146221
98	16032	145911
99	16183	145650
100	16352	145551
101	16528	145517
102	16668	145165
103	16819	144904
104	16951	144492
105	17087	144115
106	17228	143785
107	17371	143477
108	17505	143097
109	17666	142936
110	17802	142581
111	17946	142288
112	18101	142088
113	18229	141681
114	18359	141289
115	18481	140840
116	18625	140563
117	18772	140320
118	18921	140081
119	19074	139877
120	19240	139772
121	19390	139545
122	19537	139303
123	19673	138982
124	19813	138694
125	19958	138444
126	20122	138324
127	20247	137938
128	20372	137555
129	20513	137282
130	20648	136970
131	20796	136751
132	20921	136384
133	21073	136194
134	21221	135973
135	21364	135727
136	21487	135358
137	21613	135005
138	21746	134704
139	21900	134532
140	22034	134241
141	22166	133933
142	22299	133641
143	22438	133385
144	22565	133058
145	22712	132855
146	22867	132693
147	23012	132478
148	23164	132304
149	23305	132065
150	23451	131854
151	23598	131653
152	23759	131533
153	23897	131280
154	24042	131072
155	24188	130866
156	24334	130664
157	24482	130469
158	24627	130260
159	24768	130034
160	24909	129809
161	25058	129625
162	25206	129432
163	25342	129182
164	25476	128928
165	25637	128804
166	25760	128494
167	25905	128293
168	26039	128041
169	26193	127883
170	26358	127785
171	26489	127520
172	26620	127257
173	26767	127067
174	26897	126800
175	27031	126556
176	27202	126482
177	27330	126212
178	27464	125967
179	27594	125707
180	27728	125467
181	27858	125210
182	27985	124941
183	28131	124757
184	28301	124680
185	28460	124553
186	28602	124353
187	28750	124177
188	28911	124057
189	29037	123793
190	29175	123577
191	29308	123339
192	29460	123183
193	29589	122934
194	29712	122660
195	29877	122558
196	30008	122319
197	30128	122035
198	30258	121792
199	30387	121550
200	30519	121319
201	30671	121166
202	30802	120933
203	30941	120732
204	31086	120553
205	31242	120421
206	31398	120284
207	31529	120053
208	31667	119852
209	31802	119637
210	31943	119446
211	32069	119203
212	32221	119053
213	32364	118870
214	32511	118705
215	32636	118456
216	32785	118301
217	32923	118102
218	33067	117926
219	33215	117763
220	33357	117582
221	33494	117382
222	33654	117263
223	33777	117014
224	33917	116827
225	34052	116623
226	34202	116470
227	34366	116364
228	34533	116268
229	34682	116110
230	34806	115870
231	34959	115726
232	35121	115613
233	35275	115474
234	35404	115252
235	35546	115075
236	35699	114931
237	35840	114749
238	35972	114539
239	36112	114354
240	36255	114182
241	36399	114013
242	36528	113795
243	36668	113612
244	36806	113424
245	36942	113228
246	37096	113090
247	37254	112963
248	37384	112754
249	37514	112543
250	37647	112343
251	37785	112157
252	37920	111964
253	38054	111766
254	38196	111594
255	38336	111415
256	38472	111225
257	38615	111055
258	38759	110890
259	38902	110723
260	39038	110534
261	39183	110371
262	39337	110234
263	39480	110066
264	39611	109865
265	39768	109737
266	39911	109570
267	40040	109363
268	40166	109152
269	40328	109035
270	40476	108882
271	40626	108735
272	40768	108566
273	40898	108365
274	41053	108232
275	41181	108025
276	41316	107840
277	41454	107662
278	41615	107544
279	41775	107423
280	41919	107260
281	42062	107094
282	42202	106923
283	42331	106722
284	42459	106521
285	42612	106382
286	42745	106193
287	42907	106077
288	43062	105943
289	43202	105771
290	43349	105617
291	43491	105451
292	43628	105275
293	43770	105107
294	43910	104938
295	44057	104785
296	44216	104660
297	44355	104489
298	44505	104341
299	44639	104159
300	44777	103984
301	44913	103805
302	45047	103624
303	45193	103469
304	45344	103325
305	45479	103145
306	45622	102984
307	45757	102805
308	45909	102664
309	46050	102499
310	46180	102310
311	46329	102163
312	46484	102027
313	46654	101926
314	46823	101821
315	46963	101655
316	47101	101483
317	47266	101370
318	47389	101167
319	47528	100997
320	47674	100844
321	47822	100695
322	47959	100521
323	48086	100328
324	48208	100124
325	48348	99958
326	48472	99762
327	48603	99578
328	48747	99420
329	48899	99280
330	49047	99131
331	49184	98960
332	49328	98805
333	49482	98669
334	49635	98530
335	49785	98386
336	49911	98193
337	50052	98031
338	50190	97863
339	50326	97692
340	50470	97537
341	50608	97369
342	50740	97191
343	50898	97061
344	51039	96900
345	51177	96733
346	51321	96579
347	51459	96413
348	51597	96246
349	51739	96087
350	51873	95914
351	52004	95735
352	52145	95576
353	52277	95399
354	52417	95236
355	52536	95038
356	52682	94887
357	52818	94719
358	52959	94559
359	53096	94393
360	53231	94224
361	53383	94085
362	53552	93974
363	53691	93812
364	53831	93651
365	53966	93483
366	54106	93323
367	54245	93161
368	54387	93004
369	54536	92860
370	54678	92702
371	54837	92574
372	54970	92403
373	55112	92246
374	55253	92089
375	55382	91910
376	55537	91776
377	55689	91636
378	55832	91483
379	55960	91304
380	56092	91131
381	56252	91005
382	56402	90862
383	56550	90717
384	56698	90571
385	56836	90408
386	56980	90256
387	57130	90113
388	57265	89946
389	57394	89770
390	57541	89623
391	57690	89479
392	57827	89316
393	57964	89153
394	58108	89001
395	58253	88851
396	58381	88675
397	58526	88524
398	58663	88363
399	58813	88219
400	58936	88038
401	59074	87876
402	59218	87725
403	59354	87562
404	59502	87416
405	59628	87239
406	59744	87047
407	59862	86859
408	59995	86692
409	60137	86539
410	60270	86373
411	60419	86230
412	60547	86056
413	60675	85883
414	60834	85754
415	60997	85631
416	61129	85463
417	61264	85301
418	61392	85128
419	61529	84969
420	61665	84807
421	61795	84639
422	61929	84475
423	62052	84297
424	62186	84134
425	62337	83995
426	62468	83827
427	62606	83670
428	62746	83515
429	62902	83382
430	63024	83203
431	63171	83059
432	63302	82893
433	63432	82724
434	63578	82578
435	63712	82417
436	63857	82270
437	63981	82095
438	64142	81968
439	64291	81825
440	64418	81655
441	64556	81499
442	64686	81332
443	64828	81181
444	64962	81020
445	65097	80861
446	65239	80710
447	65371	80547
448	65520	80405
449	65641	80228
450	65783	80078
451	65926	79928
452	66077	79788
453	66214	79631
454	66363	79490
455	66504	79338
456	66657	79201
457	66790	79040
458	66919	78874
459	67073	78737
460	67211	78583
461	67356	78436
462	67476	78261
463	67606	78097
464	67737	77934
465	67885	77791
466	68015	77628
467	68177	77500
468	68309	77340
469	68440	77177
470	68584	77029
471	68718	76871
472	68853	76713
473	68980	76547
474	69122	76398
475	69271	76257
476	69403	76096
477	69552	75955
478	69683	75793
479	69827	75646
480	69968	75496
481	70092	75327
482	70215	75158
483	70340	74990
484	70454	74812
485	70579	74645
486	70713	74488
487	70852	74336
488	70982	74175
489	71106	74008
490	71463	74082
491	71586	73914
492	71739	73776
493	71900	73647
494	72031	73486
495	72159	73323
496	72297	73169
497	72420	73002
498	72562	72853
499	72699	72699
500	72840	72549
501	72985	72404
502	73121	72249
503	73257	72094
504	73398	71944
505	73515	71772
506	73634	71600
507	73762	71439
508	73896	71282
509	74015	71112
510	74140	70948
511	74268	70786
512	74387	70617
513	74531	70471
514	74677	70327
515	74829	70188
516	74966	70036
517	75086	69868
518	75203	69697
519	75337	69542
520	75468	69384
521	75582	69211
522	75712	69053
523	75855	68906
524	76012	68773
525	76139	68612
526	76278	68462
527	76396	68294
528	76547	68154
529	76681	68000
530	76804	67836
531	76931	67676
532	77084	67539
533	77224	67390
534	77358	67236
535	77493	67084
536	77638	66939
537	77797	66807
538	77951	66670
539	78083	66515
540	78231	66373
541	78371	66225
542	78503	66070
543	78623	65904
544	78745	65741
545	78871	65581
546	78990	65416
547	79121	65260
548	79245	65099
549	79373	64942
550	79506	64788
551	79639	64635
552	79775	64483
553	79928	64346
554	80071	64201
555	80212	64054
556	80341	63898
557	80466	63738
558	80615	63598
559	80762	63456
560	80892	63301
561	81028	63150
562	81184	63015
563	81331	62873
564	81465	62721
565	81601	62570
566	81741	62423
567	81885	62279
568	82026	62132
569	82174	61991
570	82291	61826
571	82429	61677
572	82577	61536
573	82713	61386
574	82842	61231
575	82987	61088
576	83136	60947
577	83263	60791
578	83397	60639
579	83529	60487
580	83664	60336
581	83815	60197
582	83967	60059
583	84126	59925
584	84267	59779
585	84401	59628
586	84550	59488
587	84677	59332
588	84805	59177
589	84933	59021
590	85061	58866
591	85203	58721
592	85334	58568
593	85498	58438
594	85613	58275
595	85765	58136
596	85880	57972
597	86023	57828
598	86166	57684
599	86321	57547
600	86460	57400
601	86607	57259
602	86752	57115
603	86898	56973
604	87057	56839
605	87198	56693
606	87370	56567
607	87514	56423
608	87669	56286
609	87820	56147
610	87969	56007
611	88101	55855
612	88238	55706
613	88379	55561
614	88529	55420
615	88685	55284
616	88841	55147
617	88996	55010
618	89147	54870
619	89296	54730
620	89429	54579
621	89560	54427
622	89728	54297
623	89881	54159
624	90015	54009
625	90163	53867
626	90309	53724
627	90446	53576
628	90594	53435
629	90731	53286
630	90888	53150
631	91051	53017
632	91165	52855
633	91290	52700
634	91432	52555
635	91565	52405
636	91702	52257
637	91860	52121
638	92005	51977
639	92138	51827
640	92298	51692
641	92437	51545
642	92579	51400
643	92732	51261
644	92888	51124
645	93035	50982
646	93182	50840
647	93337	50701
648	93471	50552
649	93631	50417
650	93781	50275
651	93946	50143
652	94101	50005
653	94233	49854
654	94375	49709
655	94513	49561
656	94625	49400
657	94769	49256
658	94894	49103
659	94999	48939
660	95157	48802
661	95262	48638
662	95392	48487
663	95544	48347
664	95686	48203
665	95799	48043
666	95963	47909
667	96085	47755
668	96215	47604
669	96343	47452
670	96480	47305
671	96618	47158
672	96753	47011
673	96883	46860
674	97016	46711
675	97156	46566
676	97269	46407
677	97390	46253
678	97512	46099
679	97635	45946
680	97771	45798
681	97906	45651
682	98052	45509
683	98180	45358
684	98304	45205
685	98451	45063
686	98574	44910
687	98731	44773
688	98860	44623
689	99007	44481
690	99137	44331
691	99295	44195
692	99415	44040
693	99629	43928
694	99754	43777
695	99892	43631
696	100040	43489
697	100200	43353
698	100347	43211
699	100478	43062
700	100612	42914
701	100740	42764
702	100866	42613
703	101000	42466
704	101140	42321
705	101267	42170
706	101395	42020
707	101528	41873
708	101641	41717
709	101778	41571
710	101918	41426
711	102068	41285
712	102202	41139
713	102339	40993
714	102461	40841
715	102592	40693
716	102720	40543
717	102840	40391
718	102958	40238
719	103090	40090
720	103228	39945
721	103353	39795
722	103475	39644
723	103603	39495
724	103747	39352
725	103890	39209
726	104017	39060
727	104139	38909
728	104256	38756
729	104388	38609
730	104512	38459
731	104643	38312
732	104791	38171
733	104942	38030
734	105081	37886
735	105214	37740
736	105367	37600
737	105510	37457
738	105639	37309
739	105784	37167
740	105934	37027
741	106074	36883
742	106220	36741
743	106336	36588
744	106467	36442
745	106594	36293
746	106714	36142
747	106842	35995
748	106991	35854
749	107118	35706
750	107260	35563
751	107394	35417
752	107541	35275
753	107672	35129
754	107825	34989
755	107943	34838
756	108059	34687
757	108197	34543
758	108311	34391
759	108416	34236
760	108523	34082
761	108642	33933
762	108770	33785
763	108909	33642
764	109057	33501
765	109205	33360
766	109323	33210
767	109479	33071
768	109618	32928
769	109739	32779
770	109884	32637
771	110016	32491
772	110156	32348
773	110289	32203
774	110419	32057
775	110551	31911
776	110677	31764
777	110828	31624
778	110971	31482
779	111114	31340
780	111258	31198
781	111388	31052
782	111548	30914
783	111679	30768
784	111811	30623
785	111949	30479
786	112076	30333
787	112208	30188
788	112329	30040
789	112444	29890
790	112565	29742
791	112693	29596
792	112816	29448
793	112942	29302
794	113063	29154
795	113185	29007
796	113309	28860
797	113420	28710
798	113550	28565
799	113674	28418
800	113793	28270
801	113931	28127
802	114057	27981
803	114182	27835
804	114307	27689
805	114428	27542
806	114561	27398
807	114684	27251
808	114802	27104
809	114918	26956
810	115056	26813
811	115187	26668
812	115320	26525
813	115448	26380
814	115583	26236
815	115713	26092
816	115823	25943
817	115951	25798
818	116071	25651
819	116205	25508
820	116334	25364
821	116449	25216
822	116580	25072
823	116717	24929
824	116850	24786
825	116988	24644
826	117129	24502
827	117264	24359
828	117402	24216
829	117511	24068
830	117674	23931
831	117797	23786
832	117918	23640
833	118066	23500
834	118215	23360
835	118335	23214
836	118465	23070
837	118598	22927
838	118726	22782
839	118855	22639
840	118983	22495
841	119114	22351
842	119245	22208
843	119375	22064
844	119501	21920
845	119632	21777
846	119762	21633
847	119892	21490
848	120022	21346
849	120157	21204
850	120281	21059
851	120412	20916
852	120548	20774
853	120691	20633
854	120825	20490
855	120988	20353
856	121123	20210
857	121273	20070
858	121427	19931
859	121581	19792
860	121732	19652
861	121874	19511
862	122008	19368
863	122164	19229
864	122306	19088
865	122449	18947
866	122591	18805
867	122745	18666
868	122878	18523
869	123011	18380
870	123151	18239
871	123301	18099
872	123408	17952
873	123529	17808
874	123637	17662
875	123741	17515
876	123857	17371
877	123980	17227
878	124088	17081
879	124219	16938
880	124343	16795
881	124563	16664
882	124746	16529
883	124934	16394
884	125054	16250
885	125185	16107
886	125341	15967
887	125469	15824
888	125591	15681
889	125731	15539
890	125873	15398
891	126006	15256
892	126149	15115
893	126285	14973
894	126439	14833
895	126600	14694
896	126725	14551
897	126871	14410
898	127031	14271
899	127426	14158
900	128033	14068
901	128212	13930
902	128349	13787
903	128582	13654
904	128951	13536
905	129206	13405
906	129345	13262
907	129577	13128
908	129729	12987
909	129855	12842
910	129991	12699
911	130159	12559
912	130307	12417
913	130460	12275
914	130631	12135
915	131141	12026
916	131366	11890
917	131528	11748
918	131676	11605
919	131827	11463
920	131979	11320
921	132139	11178
922	132354	11041
923	132485	10897
924	132631	10753
925	132772	10610
926	132928	10467
927	133059	10323
928	133196	10179
929	133317	10034
930	133450	9890
931	133570	9745
932	133736	9603
933	133867	9459
934	134035	9317
935	134184	9175
936	134328	9031
937	134479	8888
938	134611	8744
939	134740	8600
940	134923	8459
941	135086	8317
942	135260	8175
943	135429	8033
944	135642	7894
945	135884	7756
946	136094	7616
947	136264	7474
948	136411	7330
949	136544	7186
950	136736	7045
951	136950	6905
952	137125	6762
953	137258	6618
954	137371	6473
955	137540	6330
956	137743	6189
957	137893	6045
958	138036	5901
959	138245	5760
960	138418	5617
961	138612	5475
962	138788	5332
963	138971	5189
964	139178	5047
965	139346	4904
966	139476	4759
967	139642	4616
968	139768	4471
969	139908	4327
970	140051	4182
971	140158	4037
972	140292	3893
973	140417	3748
974	140534	3603
975	140670	3459
976	140806	3314
977	140935	3170
978	141090	3026
979	141220	2882
980	141334	2737
981	141455	2592
982	141568	2448
983	141698	2304
984	141834	2159
985	141957	2015
986	142072	1871
987	142199	1727
988	142312	1582
989	142463	1439
990	142606	1295
991	142771	1151
992	142916	1007
993	143072	863
994	143238	719
995	143380	575
996	143515	431
997	143627	287
998	143735	143
999	143848	0
